squad,player_name,age,position,club_involved_name,transfer_period,fee_cleaned,season,nation,minutes_played_1,goals_1,assists_1,cards_1,minutes_played_2,goals_2,assists_2,cards_2
Middlesbrough FC,Tommy Wright,26.0,Left Winger,Leicester City,Summer,0.91,1992/1993,sct SCO,0.8900584795321638,5.0,8.0,0.0,0.0014619883040935,0.0,0.0,0.0
Sheff Utd,Mark Bright,30.0,Centre-Forward,Crystal Palace,Summer,1.7,1992/1993,eng ENG,0.5932748538011696,48.0,13.0,11.0,0.131578947368421,1.0,0.0,0.0
Wimbledon FC,Vinnie Jones,27.0,Defensive Midfield,Chelsea FC,Summer,0.83,1992/1993,wls WAL,0.7209551656920078,11.0,12.0,55.0,0.17953216374269,1.0,0.0,1.0
Nottm Forest,Neil Webb,28.0,Central Midfield,Man Utd,Summer,0.925,1992/1993,eng ENG,0.2350877192982456,0.0,2.0,0.0,0.0076023391812865,0.0,0.0,0.0
Chelsea FC,Anthony Barness,19.0,Right-Back,Charlton,Summer,0.525,1992/1993,eng ENG,0.1542397660818713,0.0,0.0,1.0,0.0187134502923976,0.0,0.0,0.0
Aston Villa,Dean Saunders,28.0,Centre-Forward,Liverpool FC,Summer,2.85,1992/1993,wls WAL,0.9545808966861596,38.0,8.0,4.0,0.1432748538011695,1.0,1.0,0.0
Spurs,Teddy Sheringham,26.0,Centre-Forward,Nottm Forest,Summer,3.15,1992/1993,eng ENG,0.8618629908103592,98.0,44.0,21.0,0.0710526315789473,1.0,0.0,0.0
Oldham Athletic,Darren Beckford,25.0,Centre-Forward,Norwich City,Winter,0.33,1992/1993,eng ENG,0.2679824561403509,9.0,1.0,2.0,0.1596491228070175,1.0,0.0,0.0
Man Utd,Eric Cantona,26.0,Second Striker,Leeds United,Winter,1.8,1992/1993,fr FRA,0.7392397660818714,63.0,51.0,21.0,0.3198830409356725,6.0,5.0,3.0
Arsenal FC,Martin Keown,26.0,Centre-Back,Everton,Winter,3.0,1992/1993,eng ENG,0.6186647173489278,4.0,7.0,65.0,0.3421052631578947,0.0,0.0,1.0
Chelsea FC,Steve Livingstone,23.0,Centre-Forward,Blackburn Rovers,Winter,0.4,1992/1993,eng ENG,0.0105263157894736,0.0,0.0,0.0,0.0309941520467836,0.0,0.0,0.0
Blackburn Rovers,Graeme Le Saux,24.0,Left-Back,Chelsea FC,Winter,1.05,1992/1993,eng ENG,0.6661403508771929,7.0,18.0,23.0,0.5071428571428571,4.0,22.0,28.0
