Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Tony Adams,eng ENG,DF,Arsenal,32,1966,21,21,1890,21.0,0,1,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05,Matches
2,Gareth Ainsworth,eng ENG,MF,Wimbledon,26,1973,2,0,63,0.7,2,0,2,2,0,0,1,0,2.86,0.00,2.86,2.86,2.86,Matches
3,Niclas Alexandersson,se SWE,MF,Sheffield Weds,27,1971,37,37,3108,34.5,5,4,9,5,0,0,2,0,0.14,0.12,0.26,0.14,0.26,Matches
4,Marco Almeida,pt POR,DF,Southampton,22,1977,1,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
5,John Aloisi,au AUS,FW,Coventry City,23,1976,7,3,275,3.1,2,0,2,2,0,0,1,0,0.65,0.00,0.65,0.65,0.65,Matches
6,Gabriele Ambrosetti,it ITA,MF,Chelsea,25,1973,16,9,736,8.2,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
7,Trond Andersen,no NOR,DF,Wimbledon,24,1975,36,35,3087,34.3,0,3,3,0,0,0,4,0,0.00,0.09,0.09,0.00,0.09,Matches
8,Darren Anderton,eng ENG,MF,Tottenham,27,1972,22,22,1968,21.9,3,5,8,2,1,1,5,0,0.14,0.23,0.37,0.09,0.32,Matches
9,Tore André Flo,no NOR,FW,Chelsea,26,1973,34,20,1904,21.2,10,1,11,10,0,0,1,0,0.47,0.05,0.52,0.47,0.52,Matches
10,Martin Andresen,no NOR,"FW,MF",Wimbledon,22,1977,14,4,511,5.7,1,0,1,1,0,0,1,0,0.18,0.00,0.18,0.18,0.18,Matches
11,Tomas Antonelius,se SWE,DF,Coventry City,26,1973,10,7,635,7.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
12,Neal Ardley,eng ENG,MF,Wimbledon,26,1972,17,10,1001,11.1,2,1,3,1,1,1,4,0,0.18,0.09,0.27,0.09,0.18,Matches
13,Alun Armstrong,eng ENG,FW,Middlesbrough,24,1975,12,3,341,3.8,1,0,1,1,0,0,0,0,0.26,0.00,0.26,0.26,0.26,Matches
14,Chris Armstrong,eng ENG,FW,Tottenham,28,1971,31,29,2513,27.9,14,1,15,14,0,0,4,0,0.50,0.04,0.54,0.50,0.54,Matches
15,Pegguy Arphexad,fr FRA,GK,Leicester City,26,1973,11,9,973,10.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
16,Peter Atherton,eng ENG,"DF,MF",Sheffield Weds,29,1970,35,35,3134,34.8,1,0,1,1,0,0,5,0,0.03,0.00,0.03,0.03,0.03,Matches
17,Celestine Babayaro,ng NGA,"DF,MF",Chelsea,20,1978,25,23,2057,22.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
18,Walid Badir,il ISR,"DF,MF",Wimbledon,25,1974,21,12,1054,11.7,1,0,1,1,0,0,2,0,0.09,0.00,0.09,0.09,0.09,Matches
