club_name,stadium
Arsenal FC,Emirates Stadium
Aston Villa,Villa Park
Barnsley FC,Oakwell
Birmingham City,St. Andrew's Trillion Trophy Stadium
Blackburn Rovers,Ewood Park
Blackpool FC,Bloomfield Road
Bolton,Toughsheet Community Stadium
AFC Bournemouth,Vitality Stadium
Bradford City,Valley Parade
Brentford FC,Gtech Community Stadium
Brighton,American Express Stadium
Burnley FC,Turf Moor
Cardiff City,Cardiff City Stadium
Charlton,The Valley
Chelsea FC,Stamford Bridge
Coventry City,Highfield Road
Crystal Palace,Selhurst Park
Derby County,Pride Park Stadium
Everton FC,Goodison Park
Fulham FC,Craven Cottage
Huddersfield,John Smith's Stadium
Hull City,KCOM Stadium
Ipswich Town,Portman Road
Leeds United,Elland Road
Leicester City,King Power Stadium
Liverpool FC,Anfield
Luton Town,Kenilworth Road
Man City,Etihad Stadium
Man Utd,Old Trafford
Middlesbrough FC,Riverside Stadium
Newcastle United,St. James' Park
Norwich City,Carrow Road
Nottm Forest,The City Ground
Oldham Athletic,Boundary Park
Portsmouth FC,Fratton Park
QPR,MATRADE Loftus Road Stadium
Reading FC,Madejski Stadium
Sheff Utd,Bramall Lane
Sheff Weds,Hillsborough
Southampton FC,St. Mary's Stadium
Stoke City,Britannia Stadium
Sunderland AFC,Stadium of Light
Swansea City,Liberty Stadium
Swindon Town,County Ground
Spurs,Tottenham Hotspur Stadium
Watford FC,Vicarage Road
West Brom,The Hawthorns
West Ham United,London Stadium
Wigan Athletic,DW Stadium
Wimbledon FC,Selhurst Park
Wolves,Molineux Stadium
