club_name,player_name,age,position,club_involved_name,transfer_movement,transfer_period,fee_cleaned,season
Middlesbrough FC,Tommy Wright,26.0,Left Winger,Leicester City,in,Summer,0.91,1992/1993
Middlesbrough FC,Jonathan Gittens,28.0,defence,Southampton,in,Summer,0.25,1992/1993
Norwich City,Mark Robins,22.0,Centre-Forward,Man Utd,in,Summer,1.0,1992/1993
Oldham Athletic,Ian Olney,22.0,Centre-Forward,Aston Villa,in,Summer,0.894,1992/1993
Oldham Athletic,Neil Pointon,27.0,Left-Back,Man City,in,Summer,0.675,1992/1993
Oldham Athletic,Steve Redmond,24.0,Centre-Back,Man City,in,Summer,0.45,1992/1993
Sheff Utd,Mark Bright,30.0,Centre-Forward,Crystal Palace,in,Summer,1.7,1992/1993
Wimbledon FC,Dean Holdsworth,23.0,Centre-Forward,Brentford FC,in,Summer,1.0,1992/1993
Wimbledon FC,Vinnie Jones,27.0,Defensive Midfield,Chelsea FC,in,Summer,0.83,1992/1993
Coventry City,Phil Babb,21.0,Centre-Back,Bradford,in,Summer,0.735,1992/1993
Coventry City,John Williams,24.0,Centre-Forward,Swansea City,in,Summer,0.3,1992/1993
Crystal Palace,Darren Patterson,22.0,Right-Back,Wigan,in,Summer,0.34,1992/1993
Nottm Forest,Neil Webb,28.0,Central Midfield,Man Utd,in,Summer,0.925,1992/1993
Ipswich Town,Geraint Williams,30.0,Defensive Midfield,Derby County,in,Summer,0.75,1992/1993
Chelsea FC,Nigel Spackman,31.0,Central Midfield,Rangers,in,Summer,0.6,1992/1993
Chelsea FC,Anthony Barness,19.0,Right-Back,Charlton,in,Summer,0.525,1992/1993
Chelsea FC,Mick Harford,33.0,Centre-Forward,Luton,in,Summer,0.35,1992/1993
Chelsea FC,Mal Donaghy,34.0,Left-Back,Man Utd,in,Summer,0.2,1992/1993
Aston Villa,Dean Saunders,28.0,Centre-Forward,Liverpool FC,in,Summer,2.85,1992/1993
Aston Villa,Ray Houghton,30.0,Central Midfield,Liverpool FC,in,Summer,1.08,1992/1993
Leeds United,David Rocastle,25.0,Attacking Midfield,Arsenal FC,in,Summer,2.4,1992/1993
Blackburn Rovers,Alan Shearer,21.0,Centre-Forward,Southampton,in,Summer,4.5,1992/1993
Blackburn Rovers,Stuart Ripley,24.0,Right Winger,Middlesbrough FC,in,Summer,2.0,1992/1993
