player_name,nation,squad,minutes_played,goals,assists,cards
John Aloisi,au AUS,Coventry City,724,5,2,1.0
Darren Anderton,eng ENG,Tottenham,2721,3,9,6.0
Tore André Flo,no NOR,Chelsea,1892,10,4,2.0
Nicolas Anelka,fr FRA,Arsenal,2793,17,5,1.0
Alun Armstrong,eng ENG,Middlesbrough,161,1,1,0.0
Chris Armstrong,eng ENG,Tottenham,2357,7,1,5.0
Peter Atherton,eng ENG,Sheffield Weds,3412,2,1,6.0
Phil Babb,ie IRL,Liverpool,2091,0,1,6.0
Nick Barmby,eng ENG,Everton,1635,3,3,4.0
Anthony Barness,eng ENG,Charlton Ath,64,0,0,0.0
Gareth Barry,eng ENG,Aston Villa,2439,2,1,3.0
Chris Bart-Williams,eng ENG,Nott'ham Forest,1794,3,1,4.0
Warren Barton,eng ENG,Newcastle Utd,1680,0,0,3.0
David Batty,eng ENG,Leeds United,881,0,0,6.0
David Batty,eng ENG,Newcastle Utd,601,0,0,2.0
James Beattie,eng ENG,Southampton,2193,5,7,4.0
Mikkel Beck,dk DEN,Derby County,448,1,0,0.0
Mikkel Beck,dk DEN,Middlesbrough,1343,5,4,2.0
Henning Berg,no NOR,Manchester Utd,1087,0,2,1.0
Eyal Berkovic,il ISR,West Ham,2358,3,10,3.0
Nathan Blake,wls WAL,Blackburn,867,3,0,0.0
Luís Boa Morte,pt POR,Arsenal,278,0,0,0.0
George Boateng,nl NED,Coventry City,2627,4,6,10.0
Lars Bohinen,no NOR,Derby County,2525,0,5,6.0
Andy Booth,eng ENG,Sheffield Weds,2910,6,2,7.0
Steve Bould,eng ENG,Arsenal,1288,0,0,3.0
Lee Bowyer,eng ENG,Leeds United,3140,9,2,8.0
Garry Brady,sct SCO,Newcastle Utd,335,0,0,2.0
Gary Breen,ie IRL,Coventry City,1885,1,1,3.0
Wayne Bridge,eng ENG,Southampton,1415,0,0,0.0
Mark Bright,eng ENG,Charlton Ath,123,1,0,0.0
Wes Brown,eng ENG,Manchester Utd,947,0,0,1.0
David Burrows,eng ENG,Coventry City,1829,0,1,7.0
Deon Burton,jm JAM,Derby County,1229,9,0,3.0
Nicky Butt,eng ENG,Manchester Utd,2046,2,3,4.0
