stadium,capacity,avg_attendance,club_name
Old Trafford,74.879,75.279,Man Utd
Emirates Stadium,60.704,59.944,Arsenal FC
Etihad Stadium,55.017,54.041,Man City
St James' Park,52.338,49.754,Newcastle United
Anfield,60.725,43.91,Liverpool FC
Stadium of Light,48.707,43.071,Sunderland AFC
Stamford Bridge,40.853,41.5,Chelsea FC
Goodison Park,39.571,38.124,Everton FC
Tottenham Hotspur Stadium,62.85,35.776,Spurs
London Stadium,62.5,34.91,West Ham United
Villa Park,42.682,33.69,Aston Villa
King Power Stadium,32.273,32.021,Leicester City
St Mary's Stadium,32.384,30.751,Southampton FC
bet365 Stadium,30.089,27.534,Stoke City
Carrow Road,27.244,26.972,Norwich City
Selhurst Park,26.047,24.825,Crystal Palace
The Hawthorns,26.85,24.631,West Brom
Swansea.com Stadium,21.088,20.711,Swansea City
Vicarage Road,21.577,20.594,Watford FC
Vitality Stadium,11.329,11.189,AFC Bournemouth
